year,month,value_code,value_label,Imports: Value index,Exports: Value index,Terms of trade
2020,December,EGW9,Other unallocated products,92.8,93.6,125.9
2020,December,EGW1-9,Total,86.9,89.1,103.6
2021,January,EGW1,Live animals,92,85.8,95.7
2021,January,EGW2,Food of animal origin,84.6,87.2,98.7
2021,January,EGW3,Food of vegetable origin,91.3,90.4,102.9
2021,January,EGW4,Tea, alcoholic beverages,e,e
2021,January,EGW1-4,Food,88.8,88.8,102.3
2021,January,EGW5,Raw materials,74.3,82.8,107.7
2021,January,EGW6,Semi-finished goods,72.9,83.7,99.6
2021,January,EGW7,Intermediate products,77.6,87.6,103.2
2021,January,EGW8,End products,87.9,86.3,101.3
2021,January,EGW7-8,Finished goods,86.5,86.4,101.5
2021,January,EGW5-8,Industrial products,84.2,86.2,104
2021,January,EGW9,Other unallocated products,79.2,87,98.9
2021,January,EGW1-9,Total,84.3,86.4,103.6
2021,February,EGW1,Live animals,89.1,87,100.8
2021,February,EGW2,Food of animal origin,86.9,92.1,98.3
2021,February,EGW3,Food of vegetable origin,94.7,95.3,98.6
2021,February,EGW4,Tea, alcoholic beverages,e,e
2021,February,EGW1-4,Food,90.9,93.6,99.2
2021,February,EGW5,Raw materials,73.7,71.2,108.1
2021,February,EGW6,Semi-finished goods,80.2,83.4,100.5
2021,February,EGW7,Intermediate products,89.3,89.8,96.5
2021,February,EGW8,End products,92.7,96.4,99.9
2021,February,EGW7-8,Finished goods,92.2,95.5,99.5
2021,February,EGW5-8,Industrial products,89.5,94.5,101.9
2021,February,EGW9,Other unallocated products,98.5,90.5,109.2
2021,February,EGW1-9,Total,90,94.4,101.7
2021,March,EGW1,Live animals,119,96,85.3
2021,March,EGW2,Food of animal origin,106.4,106.6,99.6
2021,March,EGW3,Food of vegetable origin,111.6,107.9,100.7
2021,March,EGW4,Tea, alcoholic beverages,e,e
2021,March,EGW1-4,Food,109.1,107.1,100.9
2021,March,EGW5,Raw materials,84.9,84.2,101.4
2021,March,EGW6,Semi-finished goods,99.6,101.3,98.3
2021,March,EGW7,Intermediate products,104.7,106.1,97
2021,March,EGW8,End products,111.9,114.6,98.7
2021,March,EGW7-8,Finished goods,110.9,113.5,98.5
2021,March,EGW5-8,Industrial products,107.6,112.4,100
2021,March,EGW9,Other unallocated products,82.1,110.6,93.7
2021,March,EGW1-9,Total,106.6,112.1,100
2021,April,EGW1,Live animals,118.9,92.6,88.6
2021,April,EGW2,Food of animal origin,89.5,93.1,100.2
2021,April,EGW3,Food of vegetable origin,101.6,93.8,100.3
2021,April,EGW4,Tea, alcoholic beverages,e,e
2021,April,EGW1-4,Food,98.3,94.5,100.5
2021,April,EGW5,Raw materials,80.7,86.2,102.6
2021,April,EGW6,Semi-finished goods,102.7,94.6,94.6
2021,April,EGW7,Intermediate products,92.1,99.6,103.7
2021,April,EGW8,End products,99.8,99.5,99.8
2021,April,EGW7-8,Finished goods,98.7,99.5,100.2
2021,April,EGW5-8,Industrial products,97.5,99.1,101
2021,April,EGW9,Other unallocated products,85,95.4,102.3
2021,April,EGW1-9,Total,97.1,98.8,100.8
2021,May,EGW1,Live animals,122.4,93.3,80
2021,May,EGW2,Food of animal origin,98.4,100.3,100.5
2021,May,EGW3,Food of vegetable origin,102.6,98,100
2021,May,EGW4,Tea, alcoholic beverages,e,e
2021,May,EGW1-4,Food,100.6,99.5,100.3
2021,May,EGW5,Raw materials,85.7,87.9,101.1
2021,May,EGW6,Semi-finished goods,108.9,96.6,99.7
2021,May,EGW7,Intermediate products,103.7,97.4,98.5
2021,May,EGW8,End products,96.3,96.5,100.1
2021,May,EGW7-8,Finished goods,97.4,96.6,99.9
2021,May,EGW5-8,Industrial products,97.4,96.5,100.6
2021,May,EGW9,Other unallocated products,93.4,93,101
2021,May,EGW1-9,Total,97.5,96.6,100.5
2021,June,EGW1,Live animals,134.9,100,84.7
