statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,value_q
81000,National accounts of the Federation,JAHR,Year,2021,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-L,Real estate activities,429,1000,ERW061,Employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2021,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-L,Real estate activities,20.373,EUR bn,ETG005,Compensation of employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2021,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-L,Real estate activities,1241.9,h,STD007,Hours worked per person in empl. (dom. concept),e
81000,National accounts of the Federation,JAHR,Year,2021,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-L,Real estate activities,602.3436,mn h,STD002,Hours worked by persons in empl.(domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2021,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-L,Real estate activities,504.1331,mn h,STD003,Hours worked by employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2021,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-L,Real estate activities,485,1000,ERW063,Persons in employment (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,1321.1,h,STD008
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,178.309,EUR bn,VST020
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,8056,1000,ERW061
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,213.802,EUR bn,ETG005
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,1445,h,STD007
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,13331.6831,mn h,STD002
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,10642.5081,mn h,STD003
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,9226,1000,ERW063
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,1398.9,h,STD008
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,160.298,EUR bn,VST020
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,7675,1000,ERW061
