statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),140.81,unit app.,VGR008,GFCF in machinery and equipment,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),384.593,unit app.,VGR015,Government final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),465.807,unit app.,IMP001,Imports of goods and services,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),460.419,unit app.,VGR012,Gross capital formation,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),66.821,unit app.,VGR034,Changes in inv.,p
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),57.926,unit app.,VGR028,Final consumption expenditure of NPISHs,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),98.58,unit app.,VGR022,Balance of exports and imports,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),3890.81,unit app.,VGR038,Domestic uses,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),151.233,unit app.,VGR042,GFCF in other products,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2636.506,unit app.,VGR094,Individual consumption,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2962.239,unit app.,VGR039,Final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),542.477,unit app.,VGR018,Individual consumption expenditure of general gov.,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2036.103,unit app.,VGR026,Final consumption expenditure of households,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),325.733,unit app.,VGR040,Collective consumption expenditure of gen. gov.,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),446.567,unit app.,VGR009,GFCF in construction,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2094.029,unit app.,VGR035,Household final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),861.75,unit app.,VGR041,Gross fixed capital formation (GFCF),
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1820.295,unit app.,EXP001,Exports of goods and services,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),3989.39,unit app.,VGR014,Gross domestic product,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),263.95,unit app.,VGR008,GFCF in machinery and equipment,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),868.21,unit app.,VGR015,Government final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1721.715,unit app.,IMP001,Imports of goods and services,
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),928.571,unit app.,VGR012,Gross capital formation,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),10.173,unit app.,VGR034,Changes in inv.,e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),28.722,unit app.,VGR028,Final consumption expenditure of NPISHs,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),12.743,unit app.,VGR022,Balance of exports and imports,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1915.817,unit app.,VGR038,Domestic uses,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),52.904,unit app.,VGR042,GFCF in other products,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1304.97,unit app.,VGR094,Individual consumption,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1463.369,unit app.,VGR039,Final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),225.105,unit app.,VGR018,Individual consumption expenditure of general gov.,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1051.143,unit app.,VGR026,Final consumption expenditure of households,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),158.399,unit app.,VGR040,Collective consumption expenditure of gen. gov.,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),253.155,unit app.,VGR009,GFCF in construction,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1079.865,unit app.,VGR035,Household final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),442.275,unit app.,VGR041,Gross fixed capital formation (GFCF),
